© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Cell-To-Cell Signaling and Interaction, Organismal Injury and Abnormalities	activation	Activation of chronic lymphocytic leukemia cells	2.19E-02	 	 	 	 	TNFRSF13C	1	
Nervous System Development and Function	arousal	Arousal	2.19E-02	 	 	 	 	FAAH	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal dominant cleft lip with or without cleft palate	Autosomal dominant cleft lip with or without cleft palate	2.19E-02	 	 	 	 	BMP4	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	B-cell lymphomagenesis	B-cell lymphomagenesis	2.19E-02	 	 	 	 	UCHL1	1	
Cellular Compromise, Nervous System Development and Function, Neurological Disease	degeneration	Degeneration of myelin sheath	2.19E-02	 	 	 	 	RAG1	1	
Cellular Development, Endocrine System Development and Function	differentiation	Differentiation of alpha islet cells	2.19E-02	 	 	 	 	INSM1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Tissue Development	differentiation	Differentiation of lymphohematopoietic progenitor cells	2.19E-02	 	 	 	 	BMP4	1	
Cell Morphology, Connective Tissue Development and Function	elongation	Elongation of fibroblast cell lines	2.19E-02	 	 	 	 	Cdc42	1	
Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	exocrine pancreatic insufficiency	Exocrine pancreatic insufficiency	2.19E-02	 	 	 	 	CFTR	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	hydrolysis	Hydrolysis of lysophosphatidylcholine	2.19E-02	 	 	 	 	ENPP6	1	
Gastrointestinal Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of submandibular gland	2.19E-02	 	 	 	 	CFTR	1	
Cell Morphology, Endocrine System Disorders, Organ Morphology, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	lack	Lack of primordial germ cells	2.19E-02	 	 	 	 	BMP4	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	localization	Localization of nucleus	2.19E-02	 	 	 	 	Cdc42	1	
Cell Death and Survival	necroptosis	Necroptosis of colorectal cancer cell lines	2.19E-02	 	 	 	 	UCHL1	1	
Carbohydrate Metabolism, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	translocation	Translocation of phosphatidylserine	2.19E-02	 	 	 	 	ATP8A2	1	
Molecular Transport	transport	Transport of iodide	2.19E-02	 	 	 	 	CFTR	1	
Cell Death and Survival	cell viability	Cell viability of neuroblastoma cell lines	2.24E-02	 	 	 	 	SCG5,S100B	2	
Cell Death and Survival, Organismal Injury and Abnormalities, Renal and Urological Disease	apoptosis	Apoptosis of kidney cells	2.35E-02	 	 	 	 	RAG1,Cdc42	2	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG2b	2.35E-02	 	 	 	 	TNFRSF13C,LGALS2	2	
Ophthalmic Disease, Organismal Injury and Abnormalities	retinal degeneration	Retinal degeneration	2.45E-02	 	 	 	 	Cdc42,BMP4,PCDH15,ATP8A2	4	
Neurological Disease	neurological disorder	Early-onset neurological disorder	2.50E-02	 	 	 	 	CLDN14,UCHL1,PCDH15	3	
Developmental Disorder, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of amniotic cavity	2.50E-02	 	 	 	 	BMP4	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of ocular posterior segment	2.50E-02	 	 	 	 	BMP4	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of pupil	2.50E-02	 	 	 	 	BMP4	1	
Digestive System Development and Function, Endocrine System Disorders, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of small pancreas	2.50E-02	 	 	 	 	CFTR	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of thin inner nuclear layer	2.50E-02	 	 	 	 	BMP4	1	
Vitamin and Mineral Metabolism	abnormal quantity	Abnormal quantity of mineral	2.50E-02	 	 	 	 	SCG5	1	
Cellular Assembly and Organization	accumulation	Accumulation of zymogen granules	2.50E-02	 	 	 	 	CFTR	1	
Cell Morphology	budding	Budding of cells	2.50E-02	 	 	 	 	BMP4	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of extraembryonic mesoderm	2.50E-02	 	 	 	 	BMP4	1	
Cellular Development, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of calvarial cells	2.50E-02	 	 	 	 	BMP4	1	
Cellular Assembly and Organization	formation	Formation of membrane rafts	2.50E-02	 	 	 	 	Cdc42	1	
Auditory Disease, Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Reproductive System Disease	gonadal dysgenesis with auditory dysfunction, autosomal recessive inheritance	Gonadal dysgenesis with auditory dysfunction, autosomal recessive inheritance	2.50E-02	 	 	 	 	CLDN14	1	
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of linoleic acid	2.50E-02	 	 	 	 	CFTR	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of bone marrow-derived neutrophils	2.50E-02	 	 	 	 	Cdc42	1	
Cell Cycle, Cellular Development, Respiratory System Development and Function	premature senescence	Premature senescence of lung cell lines	2.50E-02	 	 	 	 	LMNB1	1	
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Nervous System Development and Function	recruitment	Recruitment of microglia	2.50E-02	 	 	 	 	Cdc42	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	Usher syndrome type 1B	Usher syndrome type 1B	2.50E-02	 	 	 	 	PCDH15	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organismal Development, Tissue Development	branching	Branching of axons	2.59E-02	 	 	 	 	Cdc42,S100B	2	
Organismal Injury and Abnormalities	degeneration	Organ Degeneration	2.63E-02	 	-1.964	bias	 	RAG1,Cdc42,BMP4,SCG5,PCDH15,ATP8A2	6	
Cellular Movement	cell movement	Cell movement of neuroglia	2.65E-02	 	 	 	 	LMNB1,Cdc42	2	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	growth	Growth of axons	2.67E-02	 	 	 	 	LMNB1,Cdc42,SEMA5A	3	
Organismal Injury and Abnormalities, Renal and Urological Disease	proteinuria	Proteinuria	2.67E-02	 	 	 	 	RAG1,BMP4,TNFRSF13C	3	
Cellular Growth and Proliferation, Lymphoid Tissue Structure and Development	expansion	Expansion of lymphatic system cells	2.70E-02	 	 	 	 	BMP4,TNFRSF13C,LCP1	3	
Organismal Injury and Abnormalities	calcinosis	Calcinosis	2.71E-02	 	 	 	 	SLC34A3,SCG5	2	
Cell-To-Cell Signaling and Interaction	aggregation	Aggregation of epithelial cells	2.81E-02	 	 	 	 	RAG1	1	
Cell Cycle, Connective Tissue Development and Function	G0/G1 phase transition	Arrest in G0/G1 phase transition of fibroblast cell lines	2.81E-02	 	 	 	 	BMP4	1	
Cellular Movement	beat	Beat of cilia	2.81E-02	 	 	 	 	CFTR	1	
Cardiovascular Disease, Organismal Injury and Abnormalities	calcinosis	Calcinosis of heart	2.81E-02	 	 	 	 	SCG5	1	
Cardiovascular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of cardiac conduction system	2.81E-02	 	 	 	 	Cdc42	1	
Cancer, Immunological Disease, Organismal Injury and Abnormalities	development	Development of thymoma	2.81E-02	 	 	 	 	RAG1	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of cholinergic neurons	2.81E-02	 	 	 	 	BMP4	1	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Respiratory Disease	pulmonary interstitial fibrosis	Pulmonary interstitial fibrosis	2.81E-02	 	 	 	 	CFTR	1	
Hematological System Development and Function, Hematopoiesis, Tissue Morphology	quantity	Quantity of LSK cells	2.81E-02	 	 	 	 	ZBTB1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	quantity	Quantity of linoleic acid	2.81E-02	 	 	 	 	CFTR	1	
Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities	recessive common variable immune deficiency	Recessive common variable immune deficiency	2.81E-02	 	 	 	 	TNFRSF13C	1	
Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Tissue Development	regionalization	Regionalization of telencephalon	2.81E-02	 	 	 	 	BMP4	1	
Cellular Movement, Nervous System Development and Function	scattering	Scattering of neurons	2.81E-02	 	 	 	 	PCDH15	1	
Cellular Function and Maintenance, Molecular Transport	secretion	Secretion of chloride	2.81E-02	 	 	 	 	CFTR	1	
Cell Morphology	morphology	Morphology of cellular protrusions	2.83E-02	 	 	 	 	LMNB1,PCDH15,SEMA5A,LCP1	4	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function	auditory evoked potential	Auditory evoked potential	2.84E-02	 	 	 	 	BMP4,EYA4	2	
Cellular Movement	migration	Migration of brain cells	2.90E-02	 	 	 	 	Cdc42,BMP4	2	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG3	2.97E-02	 	 	 	 	TNFRSF13C,LGALS2	2	
Cellular Movement	scattering	Scattering	2.97E-02	 	 	 	 	LMNB1,PCDH15	2	
Nervous System Development and Function, Tissue Morphology	quantity	Quantity of neurons	2.98E-02	 	-1.513	bias	-2.379	RAG1,LMNB1,INSM1,BMP4,PCDH15	5	
Cancer, Organismal Injury and Abnormalities	connective or soft tissue tumor	Connective or soft tissue tumor	3.01E-02	 	 	 	 	RAG1,BMP4,INSM1,PCDH15,TMEM132C,ATP8A2,CFTR,CADM3,IL17B,OLFM1,SEMA5A	11	
Organismal Injury and Abnormalities, Respiratory Disease	bronchopathy	Bronchopathy	3.05E-02	 	 	 	 	POLR2A,CFTR,LCP1	3	
Cellular Movement	cellular infiltration	Cellular infiltration by myeloid cells	3.08E-02	 	-0.985	 	-1.395	LMNB1,Cdc42,CFTR,S100B	4	
Auditory Disease, Organismal Injury and Abnormalities	abnormality	Abnormality of ear	3.09E-02	 	 	 	 	RAG1,BMP4,EYA4	3	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Tissue Morphology	distribution	Abnormal distribution of adipose tissue	3.12E-02	 	 	 	 	SCG5	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of inner plexiform layer	3.12E-02	 	 	 	 	SEMA5A	1	
Ophthalmic Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of lacrimal gland	3.12E-02	 	 	 	 	CFTR	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of photoreceptor layer	3.12E-02	 	 	 	 	BMP4	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organ Morphology, Organismal Development, Tissue Development	branching	Branching of hippocampal neurons	3.12E-02	 	 	 	 	Cdc42	1	
Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Biochemistry	catabolism	Catabolism of glycerophospholipid	3.12E-02	 	 	 	 	ENPP6	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Cellular infiltration by microglia	3.12E-02	 	 	 	 	LMNB1	1	
Post-Translational Modification, Protein Trafficking	heterodimerization	Heterodimerization of protein	3.12E-02	 	 	 	 	Cdc42	1	
Cell Morphology, Hematological Disease, Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of CD4+ T-lymphocytes	3.12E-02	 	 	 	 	RAG1	1	
Cell Morphology, Hematological Disease, Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of CD8+ T lymphocyte	3.12E-02	 	 	 	 	RAG1	1	
Small Molecule Biochemistry	metabolism	Metabolism of choline	3.12E-02	 	 	 	 	ENPP6	1	
Cellular Movement, Embryonic Development	migration	Migration of trophoblast cells	3.12E-02	 	 	 	 	FAAH	1	
Cell Death and Survival	necroptosis	Necroptosis of leukemia cell lines	3.12E-02	 	 	 	 	UCHL1	1	
Neurological Disease, Organismal Injury and Abnormalities	neurodegeneration	Neurodegeneration of hippocampal CA3 region	3.12E-02	 	 	 	 	RAG1	1	
Cellular Assembly and Organization, Cellular Function and Maintenance, Nervous System Development and Function, Tissue Development	organization	Organization of neurofilaments	3.12E-02	 	 	 	 	ATP8A2	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	persistence	Persistence of hyaloid capillary system	3.12E-02	 	 	 	 	BMP4	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	retinitis pigmentosa-deafness syndrome	Retinitis pigmentosa-deafness syndrome	3.12E-02	 	 	 	 	PCDH15	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	thinning	Thinning of cornea	3.12E-02	 	 	 	 	BMP4	1	
Organismal Injury and Abnormalities, Renal and Urological Disease	urination disorder	Urination disorder	3.30E-02	 	-1.067	bias	 	RAG1,BMP4,SLC34A3,TNFRSF13C	4	
Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of epithelial tissue	3.32E-02	 	 	 	 	RAG1,INSM1,BMP4,ATP8A2,CFTR	5	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	proliferation	Proliferation of thymocytes	3.36E-02	 	 	 	 	RAG1,BMP4	2	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of cytoplasm	3.42E-02	Increased	2.606	bias	1.393	LMNB1,UCHL1,Cdc42,BMP4,PCDH15,NCAM2,CASQ1,ATP8A2,S100B,LCP1,OLFM1,SEMA5A	12	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function	auditory evoked potential	Abnormal auditory evoked potential	3.43E-02	 	 	 	 	EYA4	1	
Cell Morphology, Embryonic Development, Nervous System Development and Function, Neurological Disease, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Tissue Morphology, Visual System Development and Function	abnormal morphology	Abnormal morphology of amacrine cells	3.43E-02	 	 	 	 	SEMA5A	1	
Digestive System Development and Function, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of submandibular gland	3.43E-02	 	 	 	 	CFTR	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry, Vitamin and Mineral Metabolism	abnormal quantity	Abnormal quantity of vitamin D	3.43E-02	 	 	 	 	SLC34A3	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	aggregation	Aggregation of dendritic cells	3.43E-02	 	 	 	 	RAG1	1	
Hematological Disease, Infectious Diseases	bacteremia	Bacteremia	3.43E-02	 	 	 	 	RAG1	1	
Cell Morphology, Connective Tissue Development and Function	cell rounding	Cell rounding of fibroblast cell lines	3.43E-02	 	 	 	 	Cdc42	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of allantois	3.43E-02	 	 	 	 	BMP4	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of common lymphoid progenitor cells	3.43E-02	 	 	 	 	ZBTB1	1	
Cellular Development	differentiation	Differentiation of prostate cancer cell lines	3.43E-02	 	 	 	 	BMP4	1	
Dental Disease, Digestive System Development and Function, Gastrointestinal Disease, Hereditary Disorder, Organismal Development, Organismal Injury and Abnormalities	familial hypodontia	Familial hypodontia	3.43E-02	 	 	 	 	BMP4	1	
Cellular Development, Nervous System Development and Function, Tissue Development	fate determination	Fate determination of neurons	3.43E-02	 	 	 	 	Cdc42	1	
Embryonic Development, Organismal Development, Tissue Development	formation	Formation of prostatic bud	3.43E-02	 	 	 	 	BMP4	1	
Cell Cycle, Connective Tissue Development and Function	G1/S phase transition	G1/S phase transition of fibroblasts	3.43E-02	 	 	 	 	Cdc42	1	
Cell Morphology	length	Length of filopodia	3.43E-02	 	 	 	 	LCP1	1	
Embryonic Development, Organ Development, Organ Morphology, Organismal Development, Reproductive System Development and Function, Tissue Development	morphogenesis	Morphogenesis of prostate gland	3.43E-02	 	 	 	 	BMP4	1	
DNA Replication, Recombination, and Repair	nicking	Nicking of DNA	3.43E-02	 	 	 	 	RAG1	1	
Cell Morphology, Cellular Assembly and Organization	polarization	Polarization of microtubule organizing centers	3.43E-02	 	 	 	 	Cdc42	1	
Cardiovascular System Development and Function, Embryonic Development, Organismal Development, Tissue Development	septation	Septation of outflow tract	3.43E-02	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction, Drug Metabolism, Small Molecule Biochemistry	synthesis	Synthesis of norepinephrine	3.43E-02	 	 	 	 	INSM1	1	
Neurological Disease, Organismal Injury and Abnormalities	astrocytosis	Astrocytosis	3.43E-02	 	 	 	 	LMNB1,S100B	2	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Morphology, Tissue Morphology	size	Size of lymphoid organ	3.43E-02	 	 	 	 	RAG1,Cdc42	2	
Embryonic Development, Organismal Development	development	Development of head	3.43E-02	 	 	 	 	RAG1,BMP4,EYA4,PCDH15,NCAM2,ATP8A2,SPEF2,SMOC1,SEMA5A	9	
Cancer, Organismal Injury and Abnormalities	soft tissue sarcoma cancer	Soft tissue sarcoma	3.45E-02	 	 	 	 	RAG1,INSM1,ATP8A2,TMEM132C,CFTR,CADM3,IL17B,SEMA5A	8	
Molecular Transport	transport	Transport of inorganic anion	3.57E-02	 	 	 	 	SLC34A3,CFTR	2	
Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Tissue Development, Visual System Development and Function	formation	Formation of eye	3.60E-02	 	 	 	 	RAG1,BMP4,ATP8A2,SMOC1,SEMA5A	5	
Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Development and Function, Hepatic System Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	hepatomegaly	Hepatomegaly	3.71E-02	 	 	 	 	RAG1,SCG5	2	
Cardiovascular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	angiogenesis	Angiogenesis of muscle	3.73E-02	 	 	 	 	IL17B	1	
Cell Death and Survival, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	cell death	Cell death of hepatic stellate cells	3.73E-02	 	 	 	 	FAAH	1	
Cell Morphology, Embryonic Development	cell rounding	Cell rounding of embryonic cell lines	3.73E-02	 	 	 	 	Cdc42	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Nervous System Development and Function	cell-cell adhesion	Cell-cell adhesion of neurons	3.73E-02	 	 	 	 	NCAM2	1	
Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Development and Function, Hepatic System Disease, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organ Development, Organismal Injury and Abnormalities	chronic autoimmune hepatitis	Chronic autoimmune hepatitis	3.73E-02	 	 	 	 	TNFRSF13C	1	
Endocrine System Development and Function, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of anandamide	3.73E-02	 	 	 	 	FAAH	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, DNA Replication, Recombination, and Repair, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	immunoglobulin V(D)J recombination	Immunoglobulin V(D)J recombination	3.73E-02	 	 	 	 	RAG1	1	
Auditory Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of ear	3.73E-02	 	 	 	 	RAG1	1	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	lack	Lack of blood island	3.73E-02	 	 	 	 	BMP4	1	
Cell Cycle, Cellular Development, Connective Tissue Development and Function	oncogene-induced senescence	Oncogene-induced senescence of fibroblast cell lines	3.73E-02	 	 	 	 	LMNB1	1	

Tox Functions for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Cardiac Dilation, Cardiac Enlargement	dilated cardiomyopathy 1J	Dilated cardiomyopathy 1J	3.16E-03	 	 	 	 	EYA4	1	
Biliary Hyperplasia	bile duct proliferation	Bile duct proliferation	1.26E-02	 	 	 	 	CFTR	1	
Liver Damage	injury	Injury of hepatocytes	1.26E-02	 	 	 	 	FAAH	1	
Renal Necrosis/Cell Death	apoptosis	Apoptosis of kidney cells	2.35E-02	 	 	 	 	RAG1,Cdc42	2	
Liver Enlargement	hepatomegaly	Hepatomegaly	3.71E-02	 	 	 	 	RAG1,SCG5	2	
Liver Necrosis/Cell Death	cell death	Cell death of hepatic stellate cells	3.73E-02	 	 	 	 	FAAH	1	
Liver Damage, Liver Inflammation/Hepatitis	chronic autoimmune hepatitis	Chronic autoimmune hepatitis	3.73E-02	 	 	 	 	TNFRSF13C	1	
Cardiac Infarction	susceptibility to myocardial infarction	Susceptibility to myocardial infarction	3.73E-02	 	 	 	 	LGALS2	1	
Liver Damage	hepatic injury	Hepatic injury	3.78E-02	 	 	 	 	RAG1,TNFRSF13C,FAAH	3	
Glomerular Injury, Renal Necrosis/Cell Death	apoptosis	Apoptosis of mesangial cells	4.95E-02	 	 	 	 	RAG1	1	
Liver Damage, Liver Inflammation/Hepatitis	chronic hepatitis	Chronic hepatitis	6.12E-02	 	 	 	 	RAG1,TNFRSF13C	2	
Glomerular Injury, Renal Damage	injury	Injury of renal glomerulus	7.04E-02	 	 	 	 	BMP4	1	
Liver Inflammation/Hepatitis	inflammation	Inflammation of liver	1.21E-01	 	 	 	 	RAG1,SCG5,TNFRSF13C	3	
Liver Hyperplasia/Hyperproliferation	liver tumor	Liver tumor	1.40E-01	 	 	 	 	EPHA10,DUSP3,NAALADL2,LMNB1,UCHL1,INSM1,HAGHL,ATP8A2,NCAM2,NALCN,CADM3,SMOC1,LCP1,FAAH,RAG1,MAP3K21,SLC45A3,SLC34A3,EYA4,PCDH15,TMEM132C,CFTR,GALNT13,OLFM1	24	
Renal Atrophy	atrophy of kidney	Atrophy of kidney	1.41E-01	 	 	 	 	BMP4	1	
Liver Cholestasis	progressive familial intrahepatic cholestasis type 1	Progressive familial intrahepatic cholestasis type 1	1.49E-01	 	 	 	 	CFTR	1	
Liver Inflammation/Hepatitis, Liver Steatosis	steatohepatitis	Steatohepatitis	1.58E-01	 	 	 	 	SCG5	1	
Increased Levels of Alkaline Phosphatase	activation	Increased activation of alkaline phosphatase	1.87E-01	 	 	 	 	BMP4	1	
Liver Necrosis/Cell Death	necrosis	Necrosis of liver	2.30E-01	 	 	 	 	SCG5,FAAH	2	
Renal Damage, Renal Tubule Injury	proximal tubular toxicity	Proximal tubular toxicity	2.37E-01	 	 	 	 	BMP4	1	
Renal Hydronephrosis	hydronephrosis	Hydronephrosis	2.51E-01	 	 	 	 	BMP4	1	
Increased Levels of Red Blood Cells	quantity	Increased Levels of Red Blood Cells	2.61E-01	 	 	 	 	BMP4	1	
Hepatocellular carcinoma, Liver Hyperplasia/Hyperproliferation	development	Development of hepatocellular carcinoma	2.65E-01	 	 	 	 	RAG1	1	
Glomerular Injury	abnormal morphology	Abnormal morphology of renal glomerulus	2.91E-01	 	 	 	 	BMP4	1	
Liver Necrosis/Cell Death	cell death	Cell death of hepatocytes	4.29E-01	 	 	 	 	FAAH	1	
Liver Hyperplasia/Hyperproliferation	cancer	Liver cancer	4.73E-01	 	 	 	 	DUSP3,NAALADL2,UCHL1,INSM1,HAGHL,ATP8A2,NCAM2,NALCN,CADM3,SMOC1,RAG1,MAP3K21,SLC45A3,EYA4,PCDH15,TMEM132C,CFTR,GALNT13	18	
Liver Hyperplasia/Hyperproliferation	liver carcinoma	Liver carcinoma	5.41E-01	 	 	 	 	DUSP3,NAALADL2,INSM1,HAGHL,ATP8A2,NCAM2,NALCN,CADM3,SMOC1,RAG1,MAP3K21,SLC45A3,EYA4,PCDH15,TMEM132C,CFTR,GALNT13	17	
Cardiac Enlargement	enlargement	Enlargement of heart	1.00E00	 	 	 	 	SCG5,EYA4	2	
Renal Inflammation, Renal Nephritis	nephritis	Nephritis	1.00E00	 	 	 	 	RAG1	1	

Regulator Effects for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM

Networks for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
ID	Analysis	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions	
1	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	ACY3,Abhd1,Akt,BMP4,CFTR,Cdc42,Creb,DUSP3,EDAR,ELP1,ERK1/2,FAAH,GPR85,Histone h3,IL17B,IgG,IgG1,IgG2b,Igg3,Igm,LCP1,LGALS2,LMNB1,MRGPRX1,NAALADL2,NFkB (complex),NSD1,POLR2A,PRR5,RAG1,S100B,SLC22A17,SLC9A5,SPPL2A,TNFRSF13C	37	17	Cell Morphology, Humoral Immune Response, Lymphoid Tissue Structure and Development	
