© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
RPS25	other	 	3	 	 	1.155	1.22E-03	4.61E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,NFkB (complex),NPAT,RPS25,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
NOC2L	transcription regulator	 	3	 	 	-1.155	1.23E-03	4.62E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,NFkB (complex),NOC2L,NPAT,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
RPL5	other	 	3	 	 	1.155	1.23E-03	4.63E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,NFkB (complex),NPAT,RPL5,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
ZNF668	transcription regulator	 	3	 	 	1.155	1.23E-03	4.62E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,NFkB (complex),NPAT,STMN1,TP53,ZNF668	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
MTBP	other	 	3	 	 	1.155	1.24E-03	4.74E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,MTBP,NFkB (complex),NPAT,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	NCL,NPM1	 	 	 	 	 	
Pias	group	 	3	 	 	0.577	1.25E-03	4.36E-02	caspase,IL6,Mek,NFkB (complex),NPAT,Pias,PIAS1,PIAS2,PIAS4,SIRT1,SNCA,STAT,STAT4,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,LRP1,NUPR1,SCGN,STMN2,TMSB15A	12 (15)	10	 	 	 	 	 	 	 	 	 	
idoxifene	chemical drug	 	3	 	 	0.000	1.25E-03	3.94E-02	APP,Calmodulin,ESR1,ESR2,GATA1,idoxifene,MAPK1,NFkB (complex),Pkc(s),RAF1,STAT5B	BCL11B,GAD2,KCND3,LRP1,LRP1B,NUPR1,PDZRN3,TAC3,TIAM1,TMSB15A	10 (11)	9	 	 	 	 	 	 	 	 	 	
DDAH2	enzyme	 	1	 	biased	-1.000	1.27E-03	1.70E-03	DDAH2	SCGN	1 (1)	1	SOX4,STAT4	 	 	 	 	 	 	 	 	
KCNAB1	ion channel	 	1	 	biased	-1.000	1.27E-03	1.80E-03	KCNAB1	KCND3	1 (1)	1	 	 	 	 	 	 	 	 	 	
NLGN2	enzyme	 	1	 	biased	-1.000	1.27E-03	2.00E-03	NLGN2	GAD2	1 (1)	1	 	 	 	 	 	 	 	 	 	
mir-329	microRNA	 	1	 	biased	1.000	1.27E-03	2.00E-03	mir-329	GAD2	1 (1)	1	 	TFF3	 	 	 	 	 	 	 	
TCF7	transcription regulator	 	3	 	 	-1.667	1.28E-03	2.74E-02	CEBPA,GATA3,HAVCR2,IFNG,NFkB (complex),PRDM1,SREBF1,STAT4,TCF7	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,SCGN	9 (9)	6	 	PRNP	 	 	 	 	 	 	 	
IFNA17	cytokine	 	3	 	 	1.414	1.42E-03	1.89E-02	GATA3,IFNA17,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNA10	cytokine	 	3	 	 	1.414	1.43E-03	1.90E-02	GATA3,IFNA10,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNA14	cytokine	 	3	 	 	1.414	1.43E-03	1.87E-02	GATA3,IFNA14,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNA21	cytokine	 	3	 	 	1.414	1.43E-03	1.90E-02	GATA3,IFNA21,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNA7	cytokine	 	3	 	 	1.414	1.43E-03	1.90E-02	GATA3,IFNA7,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNA16	cytokine	 	3	 	 	1.414	1.43E-03	1.89E-02	GATA3,IFNA16,IFNG,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
IFNW1	cytokine	 	3	 	 	1.414	1.44E-03	1.89E-02	GATA3,IFNG,IFNW1,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
DDIT3	transcription regulator	 	2	 	 	-0.816	1.44E-03	4.90E-03	CEBPB,DDIT3,IL1B,TRIB3	DDR2,HERPUD1,NEAT1,NUPR1,RBM5-AS1,STMN2	6 (4)	4	acetaminophen,bardoxolone,bufalin,CETP,clopidogrel,CNB-001,Collagen(s),farnesol,Ins1,LRPAP1,peroxynitrite,rotenone,ST3-Hel2A-2	A2M,CGA,CREBZF,leucine,PRNP,RELA,SCD,SEL1L,TFRC,TMBIM6,TSG101	 	CASP8	 	 	 	 	 	
IFNK	cytokine	 	3	 	 	1.414	1.44E-03	1.89E-02	GATA3,IFNG,IFNK,MAPK1,NFkB (complex),STAT1,STAT4	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	5	NFkB (complex)	 	 	STAT4	 	 	 	 	 	
FOXL2	transcription regulator	 	3	 	 	-0.378	1.56E-03	1.79E-02	CASP8,caspase,FOXL2,IL1B,NFkB (complex),PARP1	GAD2,HERPUD1,KCND3,NEAT1,RBM5-AS1,STMN2,TMSB15A	7 (6)	4	 	DLX5	 	CASP8,caspase,SOX4,TNFAIP3	 	 	 	 	 	
MECP2	transcription regulator	 	1	 	 	1.414	1.62E-03	3.70E-03	MECP2	DLX5,DLX6	2 (1)	1	 	 	 	 	DLX5,SPN	 	 	 	 	
peroxynitrite	chemical toxicant	 	2	 	 	0.000	1.63E-03	3.15E-02	ALDH2,EGFR,MAPK1,NFkB (complex),PARP1,peroxynitrite,Pkc(s),RAF1	BCL11B,GAD2,HERPUD1,KCND3,NUPR1,SLC7A3,TIAM1,TMSB15A	8 (8)	7	 	 	 	DDIT3,NFkB (complex)	 	 	 	 	 	
rasagiline	chemical drug	 	2	 	 	-0.816	1.66E-03	7.60E-03	caspase,MAPK1,NFkB (complex),PARP1,Pkc(s),rasagiline	BCL11B,GAD2,HERPUD1,KCND3,NUPR1,TMSB15A	6 (6)	5	 	 	 	NFkB (complex)	APP,caspase,PRKCG	 	 	 	 	
CDH16	enzyme	 	3	 	 	-1.155	1.72E-03	2.00E-02	AKT1,CDH16,CREB1,ERK1/2,ESR1,ESR2,GATA1,MAP2K1/2,MTOR,NFkB (complex),PTGS2,RAF1,RPS6KA1,SIRT1,SRF,STMN1,TNF	DLX5,GAD2,HERPUD1,KCND3,LRP1,LRP1B,NEAT1,RBM5-AS1,SCGN,STMN2,TAC3,TIAM1	12 (17)	12	 	 	 	 	 	 	 	 	 	
NOL3	other	 	3	 	 	0.378	1.72E-03	2.52E-02	CASP8,caspase,IL1B,NFkB (complex),NOL3,PARP1	GAD2,HERPUD1,KCND3,NEAT1,RBM5-AS1,STMN2,TMSB15A	7 (6)	4	 	 	 	 	CASP8,caspase	 	 	 	 	
vitamin E	chemical drug	 	2	 	 	1.134	1.72E-03	1.89E-02	MAPK1,Mek,NFkB (complex),Pkc(s),PTGS2,RAF1,vitamin E	BCL11B,DDR2,DLX5,GAD2,KCND3,NUPR1,TIAM1	7 (7)	6	 	 	 	 	Casp12,cytokine,MMP14,NFkB (complex),RELA	 	 	 	 	
rotenone	chemical toxicant	 	2	 	 	1.890	1.73E-03	1.74E-02	MAP2K1/2,NFkB (complex),PTGS2,RAF1,rotenone,SNCA	BCL11B,DLX5,GAD2,HERPUD1,KCND3,PDZRN3,TIAM1	7 (6)	5	 	 	 	ATF4,cytochrome C,DDIT3	CASP8,NFkB (complex)	 	 	 	 	
UBE2G1	enzyme	 	3	 	 	0.378	1.98E-03	2.78E-02	caspase,CTNNB1,DIO2,EGFR,levothyroxine,NFkB (complex),PRKN,SNCA,UBE2G1	BCL11B,GAD2,HERPUD1,KCND3,PDZRN3,SLC7A3,TMSB15A	7 (9)	6	 	 	 	 	 	 	 	 	 	
ARIH2	enzyme	 	3	 	 	0.378	2.01E-03	1.98E-02	ARIH2,caspase,GATA3,GFI1,IL1B,Inflammasome (Nalp3, Asc, Casp1),NFkB (complex),NLRP3	BCL11B,GAD2,HERPUD1,KCND3,NEAT1,RBM5-AS1,STMN2	7 (8)	4	 	 	 	 	 	 	 	 	 	
MAPK8IP1	other	 	3	 	 	-0.302	2.04E-03	2.57E-02	AKT1,APP,CCND1,EGR1,ELK1,ESR2,GATA1,JUN,MAPK8,MAPK8IP1,MYC,Ngf,RAF1,SIRT1,STMN1,TGFB1,TWIST1	DDR2,DLX5,HERPUD1,KCND3,LRP1,LRP1B,NUPR1,SCGN,STMN2,TAC3,TIAM1	11 (17)	13	 	SP600125	 	APP,Ins1	ELK1	 	 	 	 	
Ifn	group	 	2	 	 	0.000	2.05E-03	2.67E-02	caspase,Ifn,IFNG,NFkB (complex),STAT4	DDR2,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (5)	4	Betacatenin/TCF,DHX9,LTB,RELA	TNFAIP3	 	BAG1,CASP8,caspase,cytokine,IL15RA,IL1R1,STAT4	 	 	 	 	 	
phloretin	chemical - endogenous non-mammalian	 	3	 	 	-1.155	2.05E-03	4.34E-02	ASCL1,caspase,CCND1,EGR1,ERK,ESR1,ESR2,GATA1,Jnk,MYC,phloretin,Pkc(s),SIRT1,STAT5B,TNF	BCL11B,DLX5,GAD2,HERPUD1,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,TAC3,TIAM1,TMSB15A	12 (15)	12	 	 	 	 	caspase	 	 	 	 	
BAG1	other	 	3	Inhibited	 	-2.309	2.30E-03	3.95E-02	APP,AR,BAG1,caspase,EGFR,ERK,ERK1/2,ESR1,ESR2,NEDD9,RAF1,SIRT1,SREBF2,SRF,STAT5B,STMN1,TNF	GAD2,HERPUD1,LRP1,LRP1B,NEAT1,NUPR1,PDZRN3,RBM5-AS1,SCGN,STMN2,TIAM1,TMSB15A	12 (17)	14	Ifn	prednisolone	 	 	caspase,Rxr	 	 	 	 	
lomefloxacin	chemical drug	 	3	 	 	-1.134	2.35E-03	2.50E-02	AR,CASP8,caspase,CYP1A2,IL1B,lomefloxacin,NFkB (complex)	GAD2,HERPUD1,KCND3,NEAT1,NUPR1,RBM5-AS1,STMN2	7 (7)	4	 	 	 	CASP8	 	 	 	 	 	
DGKH	kinase	 	3	 	 	-0.632	2.39E-03	4.65E-02	APP,DGKH,EGR1,GATA1,Jnk,JUN,MYC,NFkB (complex),Pkc(s),STMN1,TGFB1,TNF	BCL11B,DLX5,GAD2,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TAC3,TIAM1	10 (12)	9	 	 	 	 	 	 	 	 	 	
RASSF10	other	 	3	 	 	0.632	2.41E-03	4.65E-02	APP,EGR1,GATA1,Jnk,JUN,MYC,NFkB (complex),Pkc(s),RASSF10,STMN1,TGFB1,TNF	BCL11B,DLX5,GAD2,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TAC3,TIAM1	10 (12)	9	 	 	 	CASP8	 	 	 	 	 	
SCT	other	 	3	 	 	-0.302	2.45E-03	3.62E-02	Ca2+,CCND1,CREB1,cyclic AMP,DLX5,EGR1,ESR1,ESR2,GCG,GLI1,IL1B,Ins1,NFkB (complex),Pka,Pkc(s),PLC,PSEN1,PTGS2,RAF1,SCT,SIRT1	BCL11B,DLX5,GAD2,KCND3,LRP1,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,TIAM1	11 (21)	16	 	 	 	AQP1	 	 	 	 	 	
dinoprost	chemical - endogenous mammalian	 	3	 	 	-1.155	2.48E-03	4.34E-02	ADRB2,Akt,caspase,CREB1,CTNNB1,dinoprost,EGFR,ERK1/2,ESR2,GATA1,MAPK1,MAPK8,Mek,MMP9,RAF1,SIRT1,STAT5B,STMN1,TNF	DDR2,GAD2,HERPUD1,LRP1B,NUPR1,PDZRN3,RBM5-AS1,SCGN,STMN2,TAC3,TIAM1,TMSB15A	12 (19)	13	mifepristone	TAZ	 	caspase	 	 	 	 	 	
APBB2	other	 	1	 	biased	-1.000	2.55E-03	5.40E-03	APBB2	LRP1	1 (1)	1	 	 	 	 	 	 	 	 	 	
DLX6-AS1	other	-2.215	1	 	 	-1.000	2.55E-03	4.80E-03	DLX6-AS1	DLX6	1 (1)	1	 	 	 	 	 	 	 	 	 	
DPP10	peptidase	 	1	 	biased	-1.000	2.55E-03	3.30E-03	DPP10	KCND3	1 (1)	1	 	 	 	 	 	 	 	 	 	
KCNAB2	ion channel	 	1	 	biased	-1.000	2.55E-03	3.30E-03	KCNAB2	KCND3	1 (1)	1	PSEN1	 	 	 	 	 	 	 	 	
KCNIP1	ion channel	 	1	 	biased	-1.000	2.55E-03	4.00E-03	KCNIP1	KCND3	1 (1)	1	Fus,Kcnip2	 	 	 	 	 	 	 	 	
Kcnip2	other	 	1	 	biased	-1.000	2.55E-03	3.30E-03	Kcnip2	KCND3	1 (1)	1	 	 	 	KCNIP1	 	 	 	 	 	
SERPINB3	other	 	1	 	biased	1.000	2.55E-03	5.40E-03	SERPINB3	LRP1	1 (1)	1	 	 	 	CASP8,NFkB (complex)	 	 	 	 	 	
mir-370	microRNA	 	1	 	biased	1.000	2.55E-03	7.60E-03	mir-370	GAD2	1 (1)	1	 	 	 	 	 	 	 	 	 	
perindoprilat	chemical drug	 	1	 	biased	1.000	2.55E-03	5.40E-03	perindoprilat	LRP1	1 (1)	1	 	 	 	 	 	 	 	 	 	
terpenoid	chemical - endogenous mammalian	 	1	 	biased	1.000	2.55E-03	5.40E-03	terpenoid	LRP1	1 (1)	1	 	 	 	 	 	 	 	 	 	
IL1R1	transmembrane receptor	 	2	 	 	-1.134	2.63E-03	3.66E-02	IL1,IL1B,IL1R1,MAPK1,NFkB (complex)	GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2	7 (5)	4	Ifn	 	 	APP,CXCL12,NFkB (complex),RELA	Ins1	 	 	 	 	
MARCHF8	enzyme	 	3	 	 	0.000	2.63E-03	4.24E-02	caspase,CD86,IFNG,IL4,MARCHF8,NFkB (complex),TNFRSF10A	DDR2,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	8 (7)	4	 	 	 	 	 	 	 	 	 	
TNFAIP3	enzyme	 	2	 	 	0.000	2.65E-03	2.07E-02	IL1B,MAVS,NFkB (complex),TNFAIP3	GAD2,HERPUD1,KCND3,NEAT1,RBM5-AS1,STMN2	6 (4)	3	FOXL2,prednisolone	MEOX2,TIGAR	 	 	CASP1,Ifn	 	 	 	 	
potassium chloride	chemical drug	 	1	 	 	-1.414	3.27E-03	8.20E-03	potassium chloride	NEAT1,SLC7A3	2 (1)	1	 	 	 	CGA,Ins1,mir-15,RELA	RNA polymerase II	 	 	 	 	
CER1	cytokine	 	3	 	 	0.000	3.44E-03	2.83E-02	BMP,BMP2,BMP4,BMP6,caspase,CER1,NFkB (complex),NODAL,TCF7L1,Wnt,WNT10B	DLX5,GAD2,HERPUD1,KCND3,NUPR1,STMN2	6 (11)	7	 	 	 	 	 	 	 	 	 	
clopidogrel	chemical drug	 	1	 	 	1.414	3.46E-03	7.80E-03	clopidogrel	HERPUD1,NUPR1	2 (1)	1	CYP2C19	 	 	DDIT3,TRIB3	CXCL12,HOXA3	 	 	 	 	
phosphatidylserine	chemical - endogenous mammalian	 	2	 	 	1.342	3.48E-03	7.90E-03	APP,phosphatidylserine,Pkc(s),RAF1	BCL11B,HERPUD1,KCND3,LRP1,TIAM1	5 (4)	3	 	Nr1h	 	APP	PRKCG	 	 	 	 	
GALR1	G-protein coupled receptor	 	3	 	 	-0.707	3.61E-03	2.85E-02	ASCL1,caspase,DDIT3,EGFR,ERK,ERK1/2,G protein alphai,GALR1,GATA1,GLI1,MAP2K1/2,NFE2L2,PTGS2,SIRT1,TNF	DDR2,DLX5,HERPUD1,NEAT1,PDZRN3,RBM5-AS1,SCGN,TAC3	8 (15)	11	 	 	 	 	 	 	 	 	 	
CDH5	other	 	1	 	 	-1.000	3.82E-03	6.10E-03	CDH5	TIAM1	1 (1)	1	BMP4,histamine,RXFP2	 	 	 	 	 	 	 	 	
STMN1	other	 	1	 	 	1.000	3.82E-03	2.40E-03	STMN1	STMN2	1 (1)	1	 	PRKCG,TSG101	 	 	 	 	 	 	 	
miR-515-3p (and other miRNAs w/seed AGUGCCU)	mature microRNA	 	1	 	biased	1.000	3.82E-03	9.60E-03	miR-515-3p (and other miRNAs w/seed AGUGCCU)	BCL11B	1 (1)	1	 	 	 	 	NFkB (complex)	 	 	 	 	
HOXA3	transcription regulator	 	3	Activated	 	2.121	3.84E-03	4.89E-02	GATA1,GATA3,HOXA3,IFNG,IL4,NFkB (complex),SPI1,STAT6	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,RBM5-AS1,TAC3	8 (8)	5	 	clopidogrel	 	 	 	 	 	 	 	
tipranavir	chemical drug	 	3	 	 	-0.447	4.42E-03	1.94E-02	IL1B,NFkB (complex),PROTEASE,tipranavir,ZMPSTE24	GAD2,KCND3,NEAT1,RBM5-AS1,STMN2	5 (5)	2	 	 	 	 	 	 	 	 	 	
CASP8	peptidase	 	2	 	 	-0.816	4.43E-03	2.97E-02	CASP8,caspase,IL1B,NFkB (complex)	GAD2,HERPUD1,KCND3,NEAT1,RBM5-AS1,STMN2	6 (4)	3	2,2'-dipyridyl,acetaminophen,APP,bardoxolone,BMP4,CYCS,daunorubicin,DDIT3,death receptor,entinostat,fluvastatin,FOXL2,glycochenodeoxycholate,Ifn,lomefloxacin,navitoclax,phenylhydrazine,PRNP,RASSF10,SERPINB3,THBS1	EFNB2,MRTFA,NAMPT,NOL3,prednisolone,RELA,rotenone,SP600125,TMBIM6	 	CASP10,caspase,NFkB (complex),PRKCG	 	 	 	 	 	
FOXD1	transcription regulator	 	2	 	 	0.378	5.05E-03	4.08E-02	FOXD1,IFNG,IL2,IL4,NFkB (complex)	DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	7 (5)	4	 	 	 	 	NFkB (complex)	 	 	 	 	
lysophosphatidylcholine	chemical - other	 	2	 	 	-0.816	5.08E-03	4.41E-02	lysophosphatidylcholine,MAPK1,NFkB (complex),Pkc(s),RAF1	BCL11B,GAD2,KCND3,LRP1,NUPR1,TIAM1	6 (5)	5	 	CEL	 	CASP1,FDFT1,NFkB (complex),SCD	 	 	 	 	 	
MAGED1	transcription regulator	 	1	 	 	-1.000	5.08E-03	5.50E-03	MAGED1	DLX5	1 (1)	1	SOX4,STAT4	 	 	DLX5	 	 	 	 	 	
NPAT	transcription regulator	 	1	 	biased	-1.000	5.08E-03	7.20E-03	NPAT	H1-5	1 (1)	1	 	 	 	 	 	 	 	 	 	
TBR1	transcription regulator	 	1	 	 	1.000	5.08E-03	1.03E-02	TBR1	BCL11B	1 (1)	1	ASCL1,bexarotene,SATB2	 	 	 	 	 	 	 	 	
miR-370-3p (and other miRNAs w/seed CCUGCUG)	mature microRNA	 	1	 	biased	1.000	5.08E-03	1.67E-02	miR-370-3p (and other miRNAs w/seed CCUGCUG)	GAD2	1 (1)	1	 	 	 	 	 	 	 	 	 	
palmitoleic acid ethyl ester	chemical - endogenous mammalian	 	3	 	 	-0.816	5.12E-03	3.73E-02	A2M,IL1B,NFkB (complex),palmitoleic acid ethyl ester,PROTEASE,trypsin	GAD2,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2	6 (6)	3	 	 	 	 	 	 	 	 	 	
FOXJ1	transcription regulator	 	2	 	 	0.378	5.16E-03	4.05E-02	FOXJ1,IFNG,IL2,IL4,NFkB (complex)	DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1	7 (5)	4	 	GMNN	 	 	NFkB (complex)	 	 	 	 	
1,2-diolein diacylclycerol	chemical reagent	 	2	 	 	1.000	5.33E-03	8.10E-03	1,2-diolein diacylclycerol,APP,Pkc(s)	BCL11B,HERPUD1,KCND3,LRP1	4 (3)	2	 	 	 	APP	 	 	 	 	 	
SOX11	transcription regulator	 	1	 	 	-1.414	5.44E-03	1.34E-02	SOX11	TIAM1,TMSB15A	2 (1)	1	 	TFRC	 	BMP4	 	 	 	 	 	
CGA	other	 	1	 	 	-1.414	6.07E-03	1.10E-02	CGA	HERPUD1,NUPR1	2 (1)	1	BMP4,DLX2,histamine,potassium chloride	 	 	BHLHA15	DDIT3	 	 	 	 	
tazemetostat	chemical drug	 	1	 	 	-1.732	6.08E-03	2.40E-02	tazemetostat	DDR2,STMN2,TIAM1	3 (1)	1	 	 	 	EFNB2,KLF4,MRTFA	FOXC1,PKN3	 	 	 	 	
FEZF2	transcription regulator	 	1	 	 	-1.000	6.35E-03	9.70E-03	FEZF2	BCL11B	1 (1)	1	 	 	 	 	 	 	 	 	 	
miR-292b-5p (and other miRNAs w/seed CUCAAAA)	mature microRNA	 	1	 	biased	1.000	6.35E-03	1.23E-02	miR-292b-5p (and other miRNAs w/seed CUCAAAA)	BCL11B	1 (1)	1	 	 	 	 	 	 	 	 	 	
ELANE	peptidase	 	2	 	 	-1.633	6.38E-03	4.23E-02	ELANE,IL1B,MAPK1,NFkB (complex)	GAD2,KCND3,NEAT1,NUPR1,RBM5-AS1,STMN2	6 (4)	3	 	A2M,MBD2,MRTFA,PI3	 	cytokine,NFkB (complex),RELA	 	 	 	 	 	
SP2509	chemical reagent	 	1	 	 	-1.732	6.72E-03	2.56E-02	SP2509	DDR2,STMN2,TIAM1	3 (1)	1	 	 	 	EFNB2,KLF4,MRTFA	FOXC1,PKN3	 	 	 	 	
