HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
ATF4P3,,LOC107986161,LRIT3,
GOLGA8N,,LOC107986163,SLC10A6,
UG0898H09,,LOC107986175,ZNF879,
RPS3AP20,,LOC107986176,IRGM,
HHIP,,LOC107986187,CAVIN4,
DND1P1,,LOC107986188,RPL36P14,
AGGF1P2,,LOC107986207,LANCL3,
LOC644554,,LOC107986251,CCDC160,
BMS1P11,,LOC107986267,PARP4P1,
SCG5,,LOC107986268,USP32P3,
RASSF10,,LOC107986282,TUBB2B,
LINC01896,,LOC107986291,PWARSN,
RPL10P12,,LOC107986304,AMIGO2,
RPL12P38,,LOC107986316,CLEC18A,
RPS18P9,,LOC107986321,CCDC144CP,
RPS4XP8,,LOC107986326,IGFBP3,
SNX19P3,,LOC107986334,NIPAL4,
SPANXC,,LOC107986363,WDR86,
SYNDIG1L,,LOC107986394,GATS,
NIPBL-AS1,,LOC107986413,ZNF429,
FBXW4,,LOC107986424,ZNF445,
EMBP1,,LOC107986432,IL1RAP,
SHMT2,,LOC107986454,IL2RB,
SHOX2,,LOC107986488,IL7R,
1-Mar,,LOC107986495,IL13RA1,
CERK,,LOC107986523,IL13RA2,
EPS8L2,,LOC107986524,KRT18P10,
NMNAT1,,LOC107986566,INSM1,
LOC648927,,LOC107986569,EIF3EP1,
BMP1,,LOC107986575,IPW,
PMEL,,LOC107986599,ISLR,
LRRC19,,LOC107986612,ITGA4,
SIX1,,LOC107986632,ITGA5,
REEP1,,LOC107986637,ITGA9,
SLC1A2,,LOC107986638,ITGAM,
GAS6-AS1,,LOC107986642,ITGB2,
SLC1A5,,LOC107986656,ITGB4,
SLC4A2,,LOC107986670,ITGB6,
WNK2,,LOC107986673,ITIH3,
SLC6A1,,LOC107986676,ITK,
FAM86FP,,LOC107986677,ITPR3,
ANXA8,,LOC107986695,IVD,
LOC653160,,LOC107986724,JAK2,
FAM86B2,,LOC107986749,JUN,
WASH6P,,LOC107986754,STK19B,
BMS1P9,,LOC107986777,ANOS2P,
SLC6A8,,LOC107986799,KCNA2,
SLC6A9,,LOC107986849,KCNA3,
WASH7P,,LOC107986871,KCNA6,
LOC653653,,LOC107986876,GALNT18,
LOC653698,,LOC107986911,IGFL1,
BMP6,,LOC107986927,DRAXIN,
LOC654342,,LOC107986942,KCND1,
BMP8B,,LOC107986946,SFT2D2,
BMPR1A,,LOC107986949,KCND2,
SLCO2A1,,LOC107986951,KCND3,
LYNX1,,LOC107986984,LINC01116,
SNCG,,LOC107986985,RBM44,
SORL1,,LOC107986986,KCNF1,
SOX5,,LOC107986991,MAST4,
SPAG1,,LOC107986994,GUSBP4,
SPAG4,,LOC107987003,KCNH1,
SPINK1,,LOC107987005,ENHO,
SPOCK1,,LOC107987009,KCNJ2,
SPTB,,LOC107987057,KCNJ4,
STAC,,LOC107987062,KCNJ5,
SNORA9,,LOC107987097,KCNJ10,
ZFP36L2,,LOC107987098,KCNJ13,
SYK,,LOC107987144,KCNK1,
SYT1,,LOC107987147,KCNMB1,
TACR1,,LOC107987158,KCNS1,
TAF4B,,LOC107987161,KDR,
CNTN2,,LOC107987165,ARF4P1,
TBXA2R,,LOC107987169,KIF5C,
MIR637,,LOC107987172,KISS1,
GCFC2,,LOC107987208,KLRD1,
TEC,,LOC107987209,KRT4,
TEK,,LOC107987230,KRT5,
NR2F1,,LOC107987242,KRT6A,
TGFBI,,LOC107987243,KRT6B,
TGFBR3,,LOC107987245,KRT7,
THRB,,LOC107987250,KRT8,
KLF10,,LOC107987254,RNF144A-AS1,
TIAM1,,LOC107987260,ZNF582-AS1,
TIE1,,LOC107987272,SNHG5,
TIMP3,,LOC107987280,SOGA3,
NKX2-1,,LOC107987297,KRT18,
TLL1,,LOC107987300,GPR153,
TLR5,,LOC107987305,ILDR2,
NR2E1,,LOC107987308,KRT18P11,
TNS1,,FAM239C,SKIDA1,
TP53BP2,,GJB6,FAM86GP,
TPBG,,STARD10,INSC,
TPD52L1,,CPLX1,LIPT2,
ACTG2,,OR7E12P,SHISA2,
TRPC5,,FAXDC2,TNFAIP8L3,
TTN,,PPP1R17,SBK1,
TTPA,,TUBGCP2,CCDC103,
RNF208,,PPP1R13L,ZNF788,
DDX11L16,,CCL27,CYP4F24P,
TLCD2,,SLC26A1,IGFL3,
RPS12P9,,ADAM28,ZNF470,
NUTM2A-AS1,,HCST,HES5,
FAM157A,,C1QL1,HS6ST1P1,
CARMN,,MALT1,KRT81,
CLEC19A,,MMP24,C1orf53,
RPL7P26,,LYVE1,KRT83,
LOC728392,,YIF1A,LINC01118,
BMS1P10,,JTB,KRT84,
LOC728613,,RUNDC3A,SP5,
DMRTC1B,,DHRS4,KRT85,
SLC15A5,,BRD8,KRT86,
LOC729086,,MTMR11,BEND4,
RPS4XP14,,EDAR,C5orf46,
STXBP5-AS1,,SMPDL3A,ARHGEF37,
FAHD2CP,,MSL3,FEZF1,
FAM86HP,,KDELR1,STRADBP1,
GAPDHP38,,SEC61B,FAM90A25P,
LINC00847,,OS9,ASNSP1,
LOC729683,,TMED2,RBM12B,
RPL12P1,,ERP29,GLIDR,
LOC729737,,IFI44L,C1QL3,
LINC01776,,ACOT2,GAPDHP21,
SEC14L6,,RAB40B,RPS24P15,
RPL5P5,,EBNA1BP2,RPS4XP13,
OSGIN2,,CKAP4,LAMA3,
VDR,,MAPRE2,GOT2P2,
VEGFA,,CCNI,KRT18P4,
VEGFC,,SLC27A2,LAMC2,
EZR,,SPINK5,KRT18P16,
VIP,,TMSB15A,GDF6,
MPPED2,,KDELR2,ELFN1,
MYRF,,KDELR3,AGMO,
VWF,,VAX1,LCP1,
WARS,,CHAT,ARHGDIB,
WNT2B,,ADAP1,LHX1,
WT1,,DSTN,LIFR,
FMNL1,,SMA5,RHOH,
ZNF711,,MID2,C11orf87,
CA2,,CHD1,SUPT16HP1,
CA3,,WWP1,LINC02381,
ZNF132,,CHD2,FLJ22447,
RNF112,,CNTRL,LMO2,
CACNA1C,,TMEM115,KCNJ2-AS1,
ZNF208,,DUSP14,SOX9-AS1,
SLC30A3,,TOPBP1,LINC01801,
LAPTM5,,STMN2,PRICKLE3,
TVP23A,,HSF2BP,C1orf226,
CACNA2D1,,ADAMTS13,LOC400940,
PXDN,,ADAMTS8,EML6,
FZD5,,ADAMTS5,FSIP2,
METRN,,CHEK1,MBNL1-AS1,
CAMKV,,CIT,LINC01060,
ST8SIA4,,FGFR1OP,KLHL31,
TRPM8,,EMILIN1,C7orf65,
PRRG4,,PTPRT,ATP6V0E2-AS1,
CHAC1,,RCAN3,GASAL1,
TAF1D,,CD160,HACD4,
MMP28,,KAT7,GOLGA7B,
DHRS11,,PLA2G16,ZNF833P,
IRX1,,LDB3,RPS16P2,
ZNF557,,CHI3L1,LOC402221,
HMGN5,,NUDT4,IGLON5,
BCL2L14,,SOX21,IFITM10,
RNF217-AS1,,FSTL1,LRP2,
PGBD5,,PSIP1,LRP4,
CCDC121,,WDHD1,LRP6,
TMEM204,,FAM107A,HAPLN4,
ZDHHC14,,STRAP,C6orf201,
SAP30L,,ADAMTS6,LSAMP,
CALCB,,LZTS1,LUM,
LRRK1,,CHIT1,MIR222,
FZD3,,INMT,EPCAM,
TFPI2,,PKP3,SMAD9,
NUDT18,,CELF3,ASIC1,
RIN3,,CHKA,STS,
ADM2,,POLI,MAP1B,
TNIP3,,MST1P2,MAP6,
PLPPR3,,CHM,MARK1,
SYNDIG1,,CHML,MARS,
ATAT1,,MST1L,AGAP6,
ZNF702P,,RPL35,CELF2-AS1,
TRPM3,,GALNT6,LINC00619,
ATF7IP2,,CA5B,MCC,
ZNF606,,NXPH4,ME1,
ZFP2,,PRRT2,MECP2,
C3orf36,,ERI2,MEF2C,
NR4A3,,NXPH3,MAP3K1,
FRAS1,,FILIP1L,MEST,
PRR36,,CYTOR,MFAP2,
MYCT1,,CMTM7,MFAP4,
PREX2,,SCN11A,MGST2,
FER1L4,,HOGA1,CIITA,
PDGFD,,L3HYPDH,MICB,
CXXC4,,B4GALT7,ASCL1,
WNT10A,,PHF21B,ACHE,
ULBP1,,CHRM2,NR3C2,
CSRP3,,MED8,MMP10,
TSGA10,,ADCY7,MMP13,
AKNA,,LYST,MMP14,
MFAP5,,PLCD3,MMP15,
SPX,,PARK7,ASLP1,
APOL6,,RPLP0P2,LOC439933,
APOL4,,IZUMO4,PRKCQ-AS1,
SETD7,,MGAT4A,ASNS,
NPL,,KIF12,IQSEC3,
ALX1,,C12orf57,FAM66C,
SLC2A10,,GLCCI1,DDX12P,
DPF3,,TMEM106A,HERC2P9,
AP3B2,,FKBP9,GOLGA6L9,
ST8SIA2,,SFT2D1,LOC440311,
SLC7A5,,MGLL,PLEKHM1P1,
STMN4,,AZIN2,ZNF506,
VOPP1,,TMEM54,NUDT4P1,
LBH,,SYNPO,HIST2H3PS2,
TMEM163,,CHRNA3,HIST2H2BF,
NETO2,,TUBA3FP,RPS20P14,
NETO1,,KLHDC7B,KRT18P38,
DPF1,,ZBED6CL,CALHM6,
CLTCL1,,CHRNA5,FLJ46906,
PUDP,,DTX2,TYW1B,
PNPLA4,,TSPEAR-AS2,SPDYE2,
TMEM187,,MCM3AP-AS1,ANKRD20A3,
USP9Y,,CHRNB2,ANKRD20A2,
DYSF,,TXNRD3,TSPAN11,
SNN,,SLC2A13,PRKXP1,
FZD6,,LACTB,ANKRD65,
FZD8,,PALM2,ZFAS1,
CARS,,EFHC1,RFPL4B,
KATNAL2,,CGB2,PTGER4P2-CDK2AP2P2,
HIST1H3E,,MIR155HG,SPDYE5,
TMEM47,,LRRC37B,MSI1,
CCDC3,,CYGB,ASS1,
RPS6KL1,,CARD16,MSR1,
CASP4,,FMNL2,MT1E,
ESPN,,ELFN2,MT1F,
INHBE,,PSMG3-AS1,MT1X,
SLC25A18,,SLITRK1,MTCP1,
MARVELD1,,TMEM200A,MTHFD1,
SYT15,,MYSM1,ASS1P9,
BCO2,,RNF157,ASS1P10,
LRMDA,,GALNT13,ASS1P14,
IMMP2L,,KLHL29,ASTN1,
SLC4A11,,CROCCP3,MYH7,
B3GNT5,,LENG8,MYH11,
PCDHB19P,,SMYD4,MYL2,
ADGRV1,,OSBPL7,NAP1L3,
SRPX,,C1QTNF3,NCF2,
KIRREL2,,TMEM123,NEFM,
PPP1R1B,,FLYWCH2,HDGFP1,
LOXL4,,CCDC124,SPIN2B,
CMAHP,,SLC26A7,NFIB,
TMEM164,,3-Mar,ATP1A4,
SLITRK6,,CKB,ATP1B2,
ANKRD20A1,,GPR146,NKTR,
NBPF3,,CISH,NKX2-2,
C2orf16,,MALSU1,NKX3-1,
MRI1,,ZNF501,NKX6-1,
GARNL3,,ARHGAP33,NNMT,
HSDL2,,DHRS1,NOS2,
PCGF5,,WDFY2,NOS3,
CASQ1,,CTHRC1,NOTCH1,
MEGF11,,CCDC151,ATP2A1,
HOPX,,CKMT2,NPY1R,
COL25A1,,RMI2,NPY2R,
TPST2,,LRRC3B,NRCAM,
KIRREL3,,RPL12P4,NTF3,
FNDC1,,CYYR1,NTRK2,
TTBK1,,ABHD15,NTN3,
SLITRK2,,EXOC3-AS1,ATP2B3,
AFAP1L2,,LYPD1,DDR2,
C22orf23,,GRIN3B,NUCB2,
ZNF347,,OLIG1,GPX8,
SLC9A7,,LEAP2,OAS3,
ACCS,,MED12L,OAZ1,
MGARP,,SNORD139,OCA2,
LINC00260,,SNORD83A,OGN,
DDX11L2,,WDR17,OPRM1,
SEMA7A,,ART5,SIX6,
CILP,,ACAP3,OXTR,
ABHD14B,,ARAP2,P2RX5,
SLC7A3,,AGAP2,P4HA1,
ATOH8,,ADCYAP1R1,G0S2,
PPM1D,,CATSPER2,SYCP3,
PPFIA4,,SCGB3A2,CALY,
URB1-AS1,,RAB3IP,ARHGEF3,
FAM86B1,,SSX2IP,ASAP1,
USP45,,GALNT15,AK3,
PIK3R3,,AP2M1,C6orf48,
KCNAB2,,AP2S1,NTM,
GAS7,,TWIST2,PC,
ATCAY,,RFFL,PDE11A,
KRT87P,,AP3S1,PCDH8,
KIAA1644,,ZNF354B,PCDH9,
MYLK2,,TRIM6,HDDC2,
KIAA1671,,CLCN2,PCK2,
RGS8,,OLFM3,TXNDC12,
RHPN2,,MSS51,CHCHD2,
PIR,,CLCN6,LEF1,
LBX2,,PIK3AP1,TCEAL9,
LGR5,,FRA10AC1,PLCE1,
YARS,,AGAP4,CPA4,
TMEFF1,,CLU,ACP6,
SCARF1,,CLIC1,PCSK1,
PLA2G4C,,GSTO2,PCSK5,
STC2,,SFR1,PBDC1,
CADPS,,CLK1,CEND1,
CBFA2T3,,CPXM2,CYP39A1,
HSD17B6,,CLK2,FKBP11,
UNC5C,,ADD3,REEP2,
AKR1C3,,RPS6P17,FAM198B,
CHRD,,LRRK2,DACT1,
B3GALT2,,CLTB,PDE1A,
B3GALT1,,ERP27,CHST15,
CTNNAL1,,FGD4,PDE2A,
TNFSF9,,ANO4,ZNF589,
ADAM15,,FOXN4,PPME1,
RGS9,,TEX26,ZNF107,
FBP2,,SLAIN1,SUCO,
TNFRSF10A,,LGMNP1,HPCAL4,
LIN7A,,ANKRD9,RHCG,
PROM1,,FRMD6,ACKR4,
CDK5R1,,SOCS4,ATP5G1,
APLN,,NOXRED1,FKBP7,
SYNJ1,,JDP2,GPRC5B,
CPNE1,,SLC25A29,ZNF44,
AP1S2,,AGBL1,SYT17,
AP1G2,,WHAMM,ATP8A2,
TRIM4,,CMKLR1,ADA2,
TIMELESS,,CCDC78,PGK1,
SKAP2,,LTB4R,PGK1P1,
CCND2,,IQCK,PGK1P2,
GAL3ST3,,PAQR4,PGM1,
CHRFAM7A,,TMEM170A,PHKA2,
MVB12B,,MSI2,SERPINA1,
SEC16B,,SLC38A10,SERPINE2,
SLAMF9,,KRBA2,SERPINB9,
SAPCD2,,TMEM132E,PIK3C2B,
HAP1,,SGK494,PIP4K2A,
FAM181A,,MRPL10,PKP1,
EMILIN3,,LRRC75A-AS1,PKP2,
SOCS3,,RPS2P46,PLCG2,
LOC90246,,FAM69C,ATP6V1G2,
FAM110B,,CLDND2,CLIC5,
SEMA5A,,C19orf70,PLEK,
ZNF835,,TRAPPC5,PLOD2,
MAP7,,OSCAR,S1PR5,
ZNF439,,ZNF813,PMAIP1,
CLDN12,,ZNF441,RIPPLY3,
CLDN6,,ZNF440,FXYD6,
CLDN1,,CNGA3,FXYD5,
DIRAS3,,CPT1C,IL20RB,
TCEAL8,,AKR1B1P7,MYO3A,
IL33,,ZNF57,SLCO1C1,
TBX18,,IRGQ,C21orf62-AS1,
TRIM47,,NDUFA11,TSPEAR-AS1,
SLC16A3,,HSPB6,TSPEAR,
LRP5L,,CNN1,GSAP,
NEURL1,,SNX6P1,NANS,
PCED1B,,ANKLE1,SNTG1,
PLXNA4,,SHE,GPR85,
SLFN11,,CNP,GDAP1,
RRP7BP,,CNR1,WNT4,
LPAR2,,SLC44A3,NLGN3,
REPS2,,ADH4,SEMA5B,
DCLK1,,ATXN7L2,MOV10L1,
ZC3HAV1L,,LOC127011,RETREG1,
LGI1,,CNTFR,POU2F2,
XPR1,,TPRG1L,NDUFB11,
DUSP27,,MYOM3,POU3F2,
SPSB4,,DMBX1,DDIT4,
PXYLP1,,COL1A1,POU3F3,
NOG,,COL1A2,SPATA6,
MSC,,COL3A1,ATRX,
CHMP4C,,EDARADD,HES2,
DHRS3,,COL4A1,PCDHB17P,
RPS4XP2,,KLF17,LRRN3,
SLC38A5,,COL4A2,PDP1,
CD9,,NKAIN4,TMED9,
MED14,,VSTM2L,RAB39A,
SOCS6,,COL4A3,XAF1,
KCNB2,,COL4A4,IL17RD,
HTR7P1,,COL5A1,FAM20A,
PTER,,COL5A2,BNC2,
LOC93429,,EMID1,PPIC,
NDST3,,CPSF1P1,NUP62CL,
LHX2,,COL6A1,ESRP1,
ITGBL1,,COL6A2,PAQR5,
MYOCD,,COL6A3,GDPD2,
CADPS2,,COL8A1,PGPEP1,
NRXN2,,CMPK2,PALMD,
LIPG,,FBLN7,TBC1D8B,
HS6ST1,,TRIM43,PPIAP9,
CD101,,COL9A3,RNF125,
LRRC4B,,ADH6,LPCAT2,
CGB8,,COL10A1,ACPP,
TJP2,,ACMSD,PHIP,
CYP7B1,,COL11A1,SUSD4,
CHST2,,RFTN2,NBDY,
HOMER2,,CLHC1,TMEM45A,
MAPK8IP1,,COL12A1,SOBP,
SLC25A27,,COL13A1,EBLN2,
MAGED1,,TTC32,CRTAC1,
RPH3AL,,LYPD6,ARMC4,
BAG5,,COL15A1,FAIM,
TP53I11,,TMEM198,PNMA8A,
GABBR2,,COL16A1,SPTLC3,
CYTIP,,MDH1B,RFK,
CD44,,COL17A1,TLK2P2,
SNCAIP,,C2orf50,TMEM144,
RGS6,,AHSA2,AGPAT5,
FEZ1,,COMP,FBXL8,
ARHGEF10,,ZPLD1,CHDH,
CD70,,COPA,LAPTM4B,
HERPUD1,,TRIM71,SLC22A15,
USP6NL,,CHCHD4,TBC1D2,
FAM131B,,COPB1,MEG3,
ECE2,,FAM43A,NPY4R,
CD74,,SYNPR,MIR31HG,
GPRIN2,,H1FOO,ZNF331,
NOS1AP,,OCIAD2,LINC00862,
ACAP1,,PABPC4L,HIST2H4B,
FRMPD4,,MAP3K8,TRIM36,
LZTS3,,SPATA18,MAML3,
RAPGEF5,,COX4I1,IL17RB,
SPOCK2,,FAM241A,ZNF823,
IP6K1,,CPEB2,SOX6,
PLPPR4,,AASDH,CDC42BPG,
SRGAP3,,EMB,LIMS2,
SLC35E2,,PPARGC1B,NSUN5,
ATP2C2,,EGFLAM,PKIB,
ARNT2,,CAPSL,CCDC88A,
HS3ST4,,ADORA1,IPO9,
REC8,,COX6B1,ZNF334,
,,UBE2QL1,SLF2,
,,AFAP1L1,ATF7IP,
,,TMEM171,HHAT,
,,CLVS2,ZNF701,
,,STXBP5,C1orf106,
,,NCOA7,H2AFJ,
,,B3GAT2,PRKCA,
,,CD109,MCTP2,
,,C6orf141,MBNL3,
,,KLF14,CACNA2D3,
,,C7orf57,ADAP2,
,,LRGUK,PRKCE,
,,CPM,DOK5,
,,ZNF572,PRKCG,
,,FAM92A,PRKCH,
,,CPT1A,BEX1,
,,CPT1B,PRKCQ,
,,UBXN2B,ZKSCAN7,
,,LETM2,PRKDC,
,,RALYL,ERBIN,
,,CRABP1,FAM212B,
,,NACC2,MYO5C,
,,CARNMT1,MAPK4,
,,CRABP2,3-Sep,
,,FAM69B,NDUFA12,
,,PIP5KL1,ACRV1,
,,TAF1L,NXF3,
,,CREB1,PDGFC,
,,CRH,PCDHGB3,
,,MUM1L1,PCDHGA7,
,,FUNDC1,PCDHGA6,
,,PTCHD1,PCDHB15,
,,GAB3,PCDHB8,
,,SPIN4,PCDHB6,
,,CRMP1,PCDHB4,
,,HAPLN1,PCDHA11,
,,ASB9,PCDHA7,
,,MYO3B,PCDHA5,
,,S100A16,PCDHA3,
,,TCEAL2,PRLR,
,,SELENOM,SUSD2,
,,NEK7,ZNF253,
,,FAUP1,KIAA1217,
,,SLC32A1,C21orf62,
,,WFDC3,CPXM1,
,,NRSN1,KYAT3,
,,ROMO1,BEX4,
,,PABPC5,PRRG1,
,,SREK1,RPRM,
,,PARP1,DNAJC12,
,,CRYM,CYP26B1,
,,SAMD8,ASAH2,
,,CRYZ,PANX2,
,,MPP7,JPH1,
,,EIF5AL1,DPYSL5,
,,HECTD2,ANKS1B,
,,FGFBP3,NDUFA4L2,
,,SYT9,SPIRE1,
,,LDLRAD3,MAP3K7CL,
,,CSF1,MEIS3,
,,XRRA1,FEM1C,
,,CSF1R,SMCO4,
,,UBQLNL,CCDC177,
,,FAM76B,LHX9,
,,CSF2,STOX2,
,,PARP1P1,CHPT1,
,,PLEKHA7,PARP11,
,,DNHD1,GOPC,
,,PRICKLE1,LPAR5,
,,ALG10B,MAN1C1,
,,ZNF664,TMEM159,
,,WDR66,JPH2,
,,BEST3,PELI2,
,,KRT80,GJC2,
,,A2M-AS1,SALL4,
,,RPL14P1,ACTR3B,
,,B3GLCT,VN1R1,
,,PRIMA1,PTCH1,
,,MIPOL1,PTGDS,
,,RPLP1P1,ZNF286A,
,,RPS3AP6,SENP7,
,,DRAIC,RHOJ,
,,NRG4,DHFRP1,
,,ZSCAN29,S100A14,
,,ZFP90,NMRAL1,
,,VCAN,PTHLH,
,,BEAN1,NDRG2,
,,FBXL16,TENM2,
,,CSPG4,AMIGO1,
,,CSRP1,SHROOM4,
,,RTN4RL1,USP31,
,,LINC02003,PLEKHG1,
,,SLC47A2,KIAA1211,
,,KIF18B,NLN,
,,EME1,AHRR,
,,PROCA1,KIDINS220,
,,DHRS13,NLGN4X,
,,CST3,STARD9,
,,UPF3AP2,SRGAP1,
,,CCBE1,CASKIN1,
,,ANKRD29,CGN,
,,CSTA,NCEH1,
,,CSTB,SEMA6A,
,,ZNF480,SIPA1L2,
,,ZNF578,ZNF471,
,,C19orf18,PCDH10,
,,ZNF418,FAM135A,
,,ZNF417,PREX1,
,,KLC3,ARHGAP21,
,,ZNF524,PDZD4,
,,SPC24,BEGAIN,
,,IGFL2,STIM2,
,,ZNF542P,PTN,
,,DPY19L3,EPB41L5,
,,CIRBP-AS1,ZDBF2,
,,ZNF558,VAT1L,
,,CDC42EP5,PCDHB16,
,,NKX2-5,PPP4R4,
,,ZNF738,ANO8,
,,ZNF681,PTPN3,
,,ATP8B3,TRIB3,
,,ZNF570,ZP4,
,,SYT6,CYP4F11,
,,C1orf74,SLC4A5,
,,SAMD11,PTPRB,
,,SAMD13,PTPRCAP,
,,LOC148709,PTPRG,
,,ANKRD35,PTPRH,
,,B3GALNT2,PTPRJ,
,,MFSD4A,PTPRR,
,,GLIS1,PTPRZ1,
,,NBPF12,WFDC1,
,,RC3H1,PYCR1,
,,DCDC2B,PYGM,
,,CTH,CREBZF,
,,MANEAL,PCTP,
,,FAM78B,LY6G5B,
,,PDIK1L,MYL7,
,,BNIPL,KMT2C,
,,CCDC17,MID1IP1,
,,KRT8P45,RAB3B,
,,RNF187,RAC2,
,,LIPI,RAD52,
,,ADRA2A,ENPP5,
,,IGSF5,RAP1GAP,
,,SIK1,RARA,
,,CTNND2,RASGRF2,
,,YDJC,HIVEP3,
,,CTPS1,EVA1C,
,,LOC150417,CACNG7,
,,LINC01102,RBL1,
,,CTRL,RXFP1,
,,COMMD1,LGR6,
,,TTC30B,TMEM35A,
,,LINC00342,RDX,
,,ITPRIPL1,REV3L,
,,LOC150776,RGR,
,,FAM117B,RGS16,
,,CTSD,RLBP1,
,,PTMAP5,RLN2,
,,GAREM2,RN7SL4P,
,,LINC01963,RNASE4,
,,KANSL1L,RNASEL,
,,PLB1,BACH2,
,,LOC151174,GAS5,
,,FAHD2B,PAPPA2,
,,FAM84A,CELF5,
,,MSL3P1,BCL9,
,,ASPRV1,SNORA73A,
,,TTC14,ROS1,
,,EFHB,RPA2,
,,LRRC34,BCR,
,,CCDC80,RPL36AL,
,,MB21D2,SCART1,
,,ADRA2C,FAM85A,
,,GLIPR2,SPANXA2-OT1,
,,ROPN1B,BDH1,
,,PQLC2L,SAA1,
,,CTSW,SALL1,
,,NEK10,SARS,
,,CMTM8,SLC22A23,
,,CTSZ,SCN1A,
,,LINC02085,SCN2B,
,,CNTN4,SCN3A,
,,IGSF11,SCN5A,
,,ZNF827,SCN7A,
,,CXADR,SCN9A,
,,NIPAL1,CCL2,
,,SHISA3,BHMT,
,,ODAPH,CCL5,
,,PPM1K,BICD1,
,,MGC32805,SRR,
,,CREBRF,ABHD4,
,,SLC25A48,PKNOX2,
,,MBLAC2,PIEZO2,
,,JAKMIP2-AS1,GPSM3,
,,PLEKHG4B,DMRTA2,
,,MARVELD2,NEUROG2,
,,C5orf38,SECTM1,
,,IRX2,SELL,
,,LOC153684,PRSS22,
,,CYC1,PERP,
,,CCDC112,SLC28A3,
,,ADRB2,RBKS,
,,SNRNP48,SNX16,
,,CNKSR3,EPB41L4A,
,,RAET1L,LRRC4,
,,MBOAT1,MAGEF1,
,,NKAIN2,XYLT2,
,,RUNDC3B,ACOT1,
,,LOC154761,ERAP2,
,,FEZF1-AS1,ECSCR,
,,LOC155060,P3H1,
,,ATP6V0E2,SEPT7P2,
,,AMZ1,PJA1,
,,METTL27,FAM110C,
,,NSUN5P1,SFRP5,
,,RBM33,EIF5AP4,
,,CYP2D6,LOC642852,
,,CYP2E1,LINC00535,
,,BAALC-AS2,FAM196A,
,,ESCO2,LOC643201,
,,C8orf37,C15orf62,
,,MCMDC2,LOC643562,
,,LINGO2,RPSAP8,
,,NXNL2,LINC00842,
,,MAMDC4,GOLGA6L4,
,,EEF1A1P5,UG0898H09,
,,RPS10P3,HHIP,
,,LDHAP4,CDH24,
,,TRMT10B,GALNT17,
,,CYP11A1,ARL14EPL,
,,RPL4P5,GOT2P3,
,,ZNF483,TMEM267,
,,KIAA1958,LOC644249,
,,ZNF782,BEND3P1,
,,ASS1P3,LOC644554,
,,PRUNE2,BMS1P11,
,,MOSPD2,RASSF10,
,,ARHGAP36,ACTG1P20,
,,ZDHHC15,RPL6P4,
,,CXorf38,ITSN1,
,,FAM122B,CHCHD2P6,
,,CYP24A1,LINC01896,
,,CYP26A1,LINC01625,
,,DAB1,LOC645513,
,,DAB2,IGFL2-AS1,
,,C11orf42,SH3GL2,
,,DAD1,SH3GL1P1,
,,TMTC2,BASP1P1,
,,CD55,ELL2P1,
,,ALDH1L2,SPANXD,
,,DAG1,LOC646626,
,,DENND5B,SPANXC,
,,DGKG,FBXW4,
,,SP3P,GAPDHP35,
,,GPR180,C6orf132,
,,AP2A2,SHMT2,
,,DAP,CCDC136,
,,DAPK1,1-Mar,
,,TMEM30B,EPS8L2,
,,MDGA2,DEPTOR,
,,SAMD15,SPATA20,
,,RPL7AP10,BMP1,
,,ODF3L1,LRRC19,
,,FSIP1,SIX1,
,,ANKFN1,SIX3,
,,10-Mar,RPL23AP64,
,,SLFN5,SLC1A1,
,,RHBDL3,REEP1,
,,TRPV3,SLC1A2,
,,ZNF519,SLC1A5,
,,ZNF600,ZNF192P1,
,,ZNF320,SLC2A4,
,,ZNF497,BMP4,
,,DEDD2,SLC3A2,
,,ZNF846,PCDH15,
,,OR7D2,WNK4,
,,ZNF791,WNK3,
,,ZNF709,FAM86FP,
,,ZNF114,ANXA8,
,,ZNF567,LOC653155,
,,ZNF780B,TRIM43B,
,,ZNF100,ANKRD20A7P,
,,ZNF540,BMS1P9,
,,DENND2C,LOC653513,
,,DCN,SLC6A9,
,,PLPPR5,LOC653653,
,,CITED4,GSTT2B,
,,KANK4,ACTR3C,
,,SASS6,BMP6,
,,DCT,LOC654342,
,,PAQR7,SLC9A3,
,,DCX,SLCO2A1,
,,LONRF2,SLC22A3,
,,DDOST,SMARCA1,
,,CCDC138,CAPRIN2,
,,FAM171B,GRAMD2B,
,,C1QL2,SNCG,
,,SPTSSB,SORL1,
,,XIRP1,SOX1,
,,RNF168,SOX2,
,,AES,SOX5,
,,PRICKLE2,SOX9,
,,SPATA5,SPAG1,
,,BBS12,SPAG4,
,,DCLK2,SPINK1,
,,ADGRA3,SPINK2,
,,ZBTB49,SPOCK1,
,,SGMS2,SSFA2,
,,TXLNB,BRCA2,
,,DACT2,SSTR1,
,,C6orf118,STAC,
,,ZNF467,SNORA40,
,,ZNF596,ACTBP8,
,,GLIS3,SULT1A1,
,,ZNF169,SULT1A3,
,,ARX,BST1,
,,DYNLT3P1,SURF1,
,,NUDT4P2,SYK,
,,GSX2,SYT1,
,,ZNF431,TACR1,
,,ZNF721,CNTN2,
,,ANKRD24,TBL1X,
,,ABHD11-AS1,SNORD84,
,,ZNF675,SNORD103A,
,,PDIA3P1,MIR641,
